AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2020,2,15,BOYACA,15776,SUTAMARCHAN,27,6304,"0,0043"
2022,3,25,CUNDINAMARCA,25297,GACHETA,463,9279,"0,0499"
2023,1,52,NARI�O,52435,MALLAMA,698,9396,"0,0743"
2021,2,19,CAUCA,19807,TIMBIO,641,36873,"0,0174"
2022,3,41,HUILA,41016,AIPE,487,17134,"0,0284"
2022,3,25,CUNDINAMARCA,25898,ZIPACON,34,5282,"0,0064"
2022,3,17,CALDAS,17524,PALESTINA,1292,15875,"0,0814"
2021,3,41,HUILA,41206,COLOMBIA,39,7501,"0,0052"
2022,1,81,ARAUCA,81794,TAME,4905,52437,"0,0935"
2022,1,68,SANTANDER,68432,MALAGA,1494,21416,"0,0698"
2022,4,25,CUNDINAMARCA,25120,CABRERA,136,5322,"0,0256"
2022,1,68,SANTANDER,68522,PALMAR,7,1475,"0,0047"
2020,4,73,TOLIMA,73861,VENADILLO,231,13013,"0,0178"
2021,3,54,NORTE DE SANTANDER,54518,PAMPLONA,6784,55036,"0,1233"
2022,4,18,CAQUETA,18860,VALPARAISO,153,7225,"0,0212"
2021,4,50,META,50251,EL CASTILLO,18,8283,"0,0022"
2021,2,68,SANTANDER,68152,CARCASI,19,4350,"0,0044"
2020,4,23,CORDOBA,23189,CIENAGA DE ORO,1907,61112,"0,0312"
2020,4,17,CALDAS,17050,ARANZAZU,305,10683,"0,0286"
2021,3,73,TOLIMA,73270,FALAN,47,7831,"0,006"
2022,2,81,ARAUCA,81220,CRAVO NORTE,354,4434,"0,0798"
2020,4,76,VALLE DEL CAUCA,76736,SEVILLA,4054,43070,"0,0941"
2020,4,13,BOLIVAR,13650,SAN FERNANDO,8,13206,"0,0006"
2022,4,20,CESAR,20175,CHIMICHAGUA,474,38317,"0,0124"
2020,2,13,BOLIVAR,13052,ARJONA,3174,72839,"0,0436"
2022,3,68,SANTANDER,68468,MOLAGAVITA,65,4251,"0,0153"
2022,2,63,QUINDIO,63548,PIJAO,242,5389,"0,0449"
2022,4,68,SANTANDER,68250,EL PE�ON,11,5319,"0,0021"
2021,1,13,BOLIVAR,13655,SAN JACINTO DEL CAUCA,21,10781,"0,0019"
2021,4,73,TOLIMA,73347,HERVEO,20,7565,"0,0026"
2020,3,76,VALLE DEL CAUCA,76122,CAICEDONIA,3111,29284,"0,1062"
2022,4,68,SANTANDER,68549,PINCHOTE,501,5407,"0,0927"
2022,1,76,VALLE DEL CAUCA,76892,YUMBO,18952,108587,"0,1745"
2021,2,68,SANTANDER,68820,TONA,284,7470,"0,038"
2022,4,52,NARI�O,52427,MAGsI,267,25852,"0,0103"
2021,2,18,CAQUETA,18205,CURILLO,35,7926,"0,0044"
2021,4,73,TOLIMA,73067,ATACO,55,19796,"0,0028"
2021,2,27,CHOCO,27495,NUQUI,534,17342,"0,0308"
2021,3,27,CHOCO,27430,MEDIO BAUDO,34,16058,"0,0021"
2021,1,73,TOLIMA,73030,AMBALEMA,189,6804,"0,0278"
2022,4,85,CASANARE,85410,TAURAMENA,2023,25930,"0,078"
2020,2,52,NARI�O,52435,MALLAMA,27,9186,"0,0029"
2022,4,05,ANTIOQUIA,05376,LA CEJA,20850,69202,"0,3013"
2022,3,54,NORTE DE SANTANDER,54553,PUERTO SANTANDER,1834,9732,"0,1885"
2021,3,44,LA GUAJIRA,44098,DISTRACCION,252,14637,"0,0172"
2022,3,52,NARI�O,52051,ARBOLEDA,90,8979,"0,01"
2021,3,70,SUCRE,70717,SAN PEDRO,396,19526,"0,0203"
2020,4,20,CESAR,20032,ASTREA,29,21547,"0,0013"
2020,2,41,HUILA,41006,ACEVEDO,1651,25739,"0,0641"
2020,4,15,BOYACA,15380,LA CAPILLA,15,2745,"0,0055"
2021,4,19,CAUCA,19142,CALOTO,80,30585,"0,0026"
2023,1,68,SANTANDER,68169,CHARTA,61,3007,"0,0203"
2021,3,52,NARI�O,52427,MAGsI,82,25723,"0,0032"
2022,1,54,NORTE DE SANTANDER,54250,EL TARRA,193,23058,"0,0084"
2022,4,52,NARI�O,52258,EL TABLON DE GOMEZ,403,14881,"0,0271"
2022,1,17,CALDAS,17174,CHINCHINA,9300,52984,"0,1755"
2021,4,76,VALLE DEL CAUCA,76377,LA CUMBRE,806,17152,"0,047"
2022,2,86,PUTUMAYO,86001,MOCOA,2745,62960,"0,0436"
2020,3,15,BOYACA,15664,SAN JOSE DE PARE,26,5126,"0,0051"
2020,2,41,HUILA,41791,TARQUI,591,18070,"0,0327"
2022,2,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,3001,53730,"0,0559"
2020,2,66,RISARALDA,66318,GUATICA,216,12325,"0,0175"
2023,1,19,CAUCA,19256,EL TAMBO,3566,57126,"0,0624"
2021,4,41,HUILA,41518,PAICOL,688,6911,"0,0996"
2021,3,19,CAUCA,19548,PIENDAMO,2930,42578,"0,0688"
2021,1,97,VAUPES,97161,CARURU,5,3294,"0,0015"
